"代號","名稱","成交","PER","累月營收年增(%)","累季獲利最新季度","最新累季每股盈餘(元)","最新年度每股盈餘(元)","2024年度每股盈餘(元)","2023年度每股盈餘(元)","成交價現金殖利率","2015年度淨利增減(%)","最新季度負債總額佔比(%)","2025年度ROE(%)","2024年度ROE(%)","2023年度ROE(%)","主要業務"
"1108","幸福","13.7","6.78","-19.8","26Q1","0.17","2.18","1.22","1.3","7.3","+23.9","47.6","16.1","9.63","10.6","有關水泥及水泥製品之工業及相關事業"
"1210","大成","58","13.8","+6.35","26Q1","0.94","4.33","4.21","4.81","5.17","-49.1","55.3","12.3","13.3","15.8","飼料大宗油脂肉品"
"1215","卜蜂","112","12.1","+4.67","26Q1","1.26","10.39","6.55","7.7","6.25","-12.2","66.1","25.6","17.8","22.9","各種飼料生產加工配製銷售進口及買賣各種禽畜育種、電動屠宰業務及各種禽畜加工品製品銷售各種肉類加工品與調理食品及蛋品生產銷售等業務"
"1240","茂生農經","55.1","11.8","+6.68","26Q1","0.89","4.86","4.34","4.12","5.44","","28.9","13.6","11.4","9.95","家禽(雞鴨鵝)家畜(豬)各項飼料及其原料之製造加工買賣倉庫租金收入,豬隻合作飼養肉豬銷售,有色雞合作飼養銷售蛋品銷售"
"1264","德麥","259","12.5","+6.54","26Q1","5.5","20.47","20.55","18.24","5.79","+24.8","31.6","20.1","21.9","20.6","專業進口烘焙原料銷售各式烘焙食品、乳製品、各式包裝材料及器具之銷售烘焙原料之預拌粉加工製造"
"1293","利統","26.2","11.9","+7.46","25Q4","2.21","2.21","2.16","1.68","5.73","","49","14.8","15.6","13.2","保健食品(含原料)研發及銷售植物用保鮮劑(乙烯阻斷劑) 研發及銷售動物、植物促長調節劑研發及銷售"
"1294","漢田生技","57.5","11.6","+23.3","26Q1","1.41","4.6","6.02","7.66","5.22","","26.7","16.8","25.4","44","機能性飲品(ODM/OEM)、粉體原料及膠囊"
"1295","生合","50.6","11.6","-5.91","26Q1","0.39","5.29","5.43","3.68","5.93","","62","14.6","16.8","12.3","乳酸菌菌粉發酵劑/液飲品"
"1307","三芳","32.4","11.8","+4.76","26Q1","0.97","2.85","3.72","1.91","6.79","+13.6","45.9","11.1","15.4","8.73","聚氨基甲酸加工品之製銷事項不織布起毛布加工品製銷染整事項聚氯乙烯加工之製銷事項塑膠加工品生產技術研究改良事項各種皮革加工之製銷事項有關事業之投資經營事項"
"1319","東陽","75.6","13.5","-14.3","26Q1","1.62","6.43","7.4","5.1","6.61","+86.3","22.4","13.7","16.5","12.1","汽機車零件製造買賣各項模具製造買賣"
"1475","業旺","27.25","10.6","-4.75","26Q1","0.88","2.72","7.22","7.9","5.5","+326","32.4","11.4","33.2","24.5","提花布銷售、紡織產品使用之染料及助劑銷售"
"1535","中宇","50.3","12.9","-24.4","26Q1","0.77","4","4.06","4.5","5.96","-25.3","44.2","13.1","13.6","15.5","環保工程機電工程代營運及機電維護"
"1580","新麥","116.5","9.25","-3.15","26Q1","2.73","12.54","13.59","12.01","7.3","-10.9","31.1","19.8","23.1","22.4","食品機器設備製造及買賣"
"1608","華榮","33.55","6.11","+15.8","26Q1","0.37","5.5","1.55","2.23","5.96","-1984","35.3","24.5","9.26","11.2","各種電線電纜及銅製品等之加工,製造,銷售及施工等各種電力,通信工程設計,施工維護及技術服務等各種電氣器具,電力及通信器材,通信用戶迴路配線器材等之製造買賣"
"1615","大山","47.05","9.93","+2.23","26Q1","0.94","4.81","3.96","3.21","5.31","-81","23","23.6","22.7","19","各項電線電纜之配件、絕緣材料、銅線之製造、加工及銷售。前各項有關機械及其配件之製造、加工及銷售。E601011電器承裝業。"
"1618","合機","38.5","8.46","-13.6","26Q1","1.57","4.21","3.71","2.01","4.42","+896","22.5","12.8","12.9","8.27","電線電纜、金屬之製造、加工、銷售電機、電氣器材及絕緣體材料之製造、加工、銷售前項各業務之進出口貿易、代理及經銷"
"1707","葡萄王","91.9","11.5","-2.68","26Q1","1.18","8.22","9.78","9.81","6.53","+11.6","23.5","15.6","18.5","18.8","藥品製劑、成藥及原料、醫療器材等之製造與買賣。雜項食品製造、冬蟲夏草食品之類似藥品劑型食品。飲料製造業、菌種業、生物技術服務業等。"
"1713","國化","48.4","10.8","+7.42","26Q1","1.36","3.87","10.31","2.32","6.4","-24.3","4","14.3","43.3","12.9","基本化學工業、化學原料批發(零售)業化妝品製(批)業、國際貿易業除許可業務外、得經營法令非限制或禁止之業務."
"1720","生達","64.3","11.9","+1.63","26Q1","1.3","5.19","4.93","4.67","3.11","-7.04","25","13.7","15.1","14.9","人用藥品健康食品"
"1730","花仙子","51.1","11","+2.11","26Q1","1.48","4.5","3.95","3.65","5.87","+27.5","19.1","14.8","13.9","13.4","家庭日用化學品工業類玻璃陶瓷餐具"
"1777","生泰","75.3","13","-4.46","26Q1","1.61","5.87","8.82","5.63","5.31","+22.1","17.9","10.2","16.1","11.1","西藥、動物用藥、化妝品及食品添加物之製造加工及販賣業務"
"1783","和康生","40.4","13.3","+6.7","26Q1","0.59","2.96","2.13","1.86","4.95","-231","18.3","18.2","13.9","12.5","生物高分子材料應用於生物醫材及醫美保養品的研發、製造及銷售"
"1817","凱撒衛","38.45","9.15","+1.08","26Q1","1.21","3.61","4.37","3.27","5.72","+26.9","18.9","11.5","14.8","11.7","各種衛浴設備、周邊製品之銷售"
"2006","東和鋼鐵","71.8","10.8","-1.3","26Q1","1.66","6.47","6.13","6.48","5.99","+20","37.4","14.2","14.2","15.8","鋼筋、扁鐵、角鐵、盤元、其他鋼鐵製品之製造加工銷售型鋼及合金鋼、工具鋼、高碳鋼、其他特殊鋼之製造加工銷售輪船解體、舊船買賣.....等"
