"代號","名稱","成交","PER","累月營收年增(%)","累季獲利最新季度","最新累季每股盈餘(元)","最新年度每股盈餘(元)","2024年度每股盈餘(元)","2023年度每股盈餘(元)","成交價現金殖利率","2015年度淨利增減(%)","最新季度負債總額佔比(%)","2025年度ROE(%)","2024年度ROE(%)","2023年度ROE(%)","主要業務"
"1295","生合","45.35","11","-2.87","26Q2","1.97","5.29","5.43","3.68","6.62","","59.4","14.6","16.8","12.3","乳酸菌菌粉發酵劑/液飲品"
"1475","業旺","26.25","6.73","-2.24","26Q2","1.06","2.72","7.22","7.9","5.71","+326","29.4","11.4","33.2","24.5","提花布銷售、紡織產品使用之染料及助劑銷售"
"1615","大山","44.3","8.57","+3.47","26Q2","2.53","4.81","3.96","3.21","5.64","-81","29","23.6","22.7","19","各項電線電纜之配件、絕緣材料、銅線之製造、加工及銷售。前各項有關機械及其配件之製造、加工及銷售。E601011電器承裝業。"
"1618","合機","39.5","8.13","+2.59","26Q2","2.9","4.21","3.71","2.01","4.3","+896","24.8","12.8","12.9","8.27","電線電纜、金屬之製造、加工、銷售電機、電氣器材及絕緣體材料之製造、加工、銷售前項各業務之進出口貿易、代理及經銷"
"1777","生泰","74.3","9.99","-5.29","26Q2","3.64","5.87","8.82","5.63","5.38","+22.1","18.6","10.2","16.1","11.1","西藥、動物用藥、化妝品及食品添加物之製造加工及販賣業務"
"2063","世鎧","24","13.1","-7.5","26Q2","0.85","1.72","1.93","4.95","2.08","-13.5","53.1","8.13","8.77","24","螺絲、螺帽、螺絲釘及鉚釘等製品製造業金屬線製品製造業"
"2109","華豐","14.8","10.8","-0.48","26Q2","0.72","1.16","1.61","1.51","6.76","-86.8","43","7.9","12","10.8","橡膠.塑膠製品之製造.加工及內外銷.有關上項之進出口業務.經營上項附帶業務."
"2211","長榮鋼","83.6","11.3","+6.53","26Q2","3.26","8.6","6.12","8.8","7.78","","25.6","13","9.74","16.4","鋼結構製造貨櫃修理除許可業務外，得經營法令非禁止或限制之業務"
"2248","華勝-KY","61.7","8.55","+49.5","26Q2","4.05","5.32","6.42","3.29","5.03","","50.6","17.1","24.5","15","汽車零件製造及銷售"
"2393","億光","64.6","13.8","+5.19","26Q2","2.14","4.6","6.64","3.32","6.97","-15.1","37.1","9.99","15.7","8.02","電子製品之加工製造買賣業務各種光電控制器之加工買賣業務半導體原料及其設備之製造買賣業務"
"2420","新巨","54.4","12.2","+4.06","26Q2","2.3","3.91","4.36","3.55","5.51","+10.9","35.5","15","17.4","14.6","微動開關電源供應器"
"2433","互盛電","41.55","13.8","+1.58","26Q2","1.06","3.05","3.28","3.39","6.5","+7.77","45.6","10.9","11.1","11.1","事務機器電腦傳真機之買賣進出口修理及出租業務電子及機械零組件買賣業務有(無)線通信傳輸設備之買賣及工程承包、裝設"
"2471","資通","50","10.4","+8.03","26Q2","1.6","3.63","3.33","3.66","6.62","-40.7","47.9","18.4","17.1","19.3","應用套裝軟體之分析.設計.修改.安裝及維護等業務.各型電腦設備.網路設備及其相關軟體之買賣.有關前項之系統整合.網路規劃.資料庫管理及應用軟體設計等."
"2488","漢平","48.4","9.94","+25","26Q2","2.21","4.56","5.24","4.39","6.2","+31.5","34.1","13.2","16.1","14.6","電器製造業.照明設備製造業.資料儲存及處理設備製造業.無線通信機械器材製造業.電子零組件製造業國際貿易業.產品設計業.資訊軟體服務業"
"2496","卓越","54.5","8.62","+1.9","26Q2","2.48","6.12","7.02","5.48","8.26","+69.6","43.2","12.8","15.1","12.4","短期補習班及教育諮詢服務"
"2520","冠德","36.9","11.1","+25.8","26Q2","1.87","2.61","10.25","4.42","4.38","-80","57.5","8.11","24","13.7","委託營造廠商興建國民住宅及商業大樓出租出售業務。建築傢具之買賣及進出口貿易業務。接受委託辦理都市更新土地重劃及房屋買賣資訊業務。"
"2539","櫻花建","35.1","8.36","+19.5","26Q2","2.36","3.46","2.85","2.24","1.71","-9.23","38.5","25.6","21.7","17.6","委託營造廠商興建國民住宅及商業大樓之出租出售業務"
"2543","皇昌","38.35","13.6","+60.8","26Q2","1.34","2.69","5.25","2.15","2.68","-59.5","57.9","16.7","38.8","19","土木建築工程之承攬業務"
"2548","華固","93.5","7.94","+102","26Q2","2.81","10.15","4.58","12.95","8.56","+88.6","61.4","15","6.67","17.8","委託營造廠商興建商業大樓、國民住宅及廠辦之出租及出售室內裝潢業務及建材.機械買賣及進出口貿易業務委託營造廠興建一般工業用地之廠房倉庫出租等業務"
"2603","長榮","239","9.48","+4.21","26Q2","11.24","31.68","64.87","16.7","6.69","-481","39.7","11.8","26.8","7.59","G301011船舶運送業、G401011船務代理業G404011貨櫃集散站經營業、CD01070商港區船舶小修業ZZ99999除許可業務外，得經營法令非禁止或限制之業務"
"2618","長榮航","42.8","9.03","+17.1","26Q2","2.24","4.84","5.37","4.01","4.67","+593","62.4","19.7","24.5","21.7","國際航線之定期及不定期航空客貨運輸業務"
"2707","晶華","178.5","12.4","+5.27","26Q2","8.62","11.42","10.57","11.11","6.02","+1.09","57.6","31.6","27.3","31.6","經營國際觀光旅館;附中西餐廳咖啡廳夜總會酒吧會議廳健身房三溫暖商店等;停車場經營;旅館管理;休閒育樂產業設施諮詢顧問"
"2752","豆府","176.5","10.8","+10.6","26Q2","8.1","15.04","15.66","14.78","7.65","","45.4","29.1","32.4","34.4","餐飲業"
"2850","新產","159","10.3","+10.3","26Q2","8.51","12.28","10.47","9.22","4.57","+21.2","63.8","19.4","18","17.9","財產保險"
"2855","統一證","50.6","5.25","+253","26Q2","6.96","3","3","1.98","4.17","-39.6","87.3","12.9","13","9.33","承銷有價證券 自行買賣有價證券 受託買賣有價證券股務代理 有價證券融資融券業務 期貨業務輔助 期貨自營其它經證期會核准之有關證券業務"
"2916","滿心","40","10.3","+1.09","26Q2","2.07","3.96","4.19","4.61","9","+18.8","21.7","15.8","18.1","23","各種成衣針織品製造買賣業務代理國內外廠商有關產品經銷投標報價業務前項有關之進出口貿易業務"
"3014","聯陽","130.5","12.8","-0.57","26Q2","5.88","9.51","10.1","9.86","6.51","-8.07","33.5","22.2","24.7","26.9","電腦週邊控制IC資訊家電相關IC液晶螢幕顯示器相關IC"
"3022","威強電","87.2","11.6","+26.8","26Q2","3.29","4.63","8.72","7.83","4.01","-21.2","32","7.29","14.6","14.3","本公司為全球工業電腦之供應廠商，專門設計、生產、及銷售各種網路通訊與自動化設備產品。主要產品類有單板/嵌入型/液晶顯示電腦、伺服器、網路儲存設備、工業機箱、介面卡、工作站、電源供應器"
"3025","星通","52","11","+38.2","26Q2","1.26","3.45","3.68","3","6.15","-203","36.3","22.2","24.3","23.6","網路存取設備產品群"
"3078","僑威","46","12.7","-46.6","26Q2","1.02","6.07","5.62","6.79","8.7","+22.5","35.1","19.2","18.8","25.3","資訊用電源供應器制造買賣/工業用電源制造買賣通訊用電源制造買賣/外接式電源外接盒/機殼/投影機等產品制造買賣"
"3118","進階","31.5","13.5","-5.8","26Q2","0.95","2.46","2","1.94","6.98","+2.03","32.5","14","11.7","11.5","生物醫學相關產品代理臨床前試驗服務"
"3158","嘉實","83.6","11.6","+19","26Q2","3.48","7.27","7.32","5.91","7.78","+35.2","28.8","23.4","31.3","27.5","資訊費收入其他"
"3213","茂訊","127","13.2","+20.4","26Q2","5.62","7.4","8.44","7.85","5.51","+2.56","30","12.4","17.2","18.7","各式電腦軟硬體之研究設計規劃製作銷售(特許業務除外)各式電腦零組件之研究銷售電腦主機及週邊設備零組件之製造加工及買賣業務"
"3217","優群","134","10.6","-4.15","26Q2","5.2","12.69","11.25","8.11","7.46","-27.7","31.9","24.5","22.7","17.9","各式連接器製造,設計及買賣業務儲存裝置設備及其週邊裝置製造,設計,維修及零件買賣業務.電腦視覺系統設計製造維修買賣業務."
"3413","京鼎","280","13.9","+19.5","26Q2","8.89","21.44","25.22","20.48","3.92","+59.4","40.5","14.6","19.5","17.7","半導體設備、次系統及系統整合平面顯示器設備、次系統及系統整合"
"3570","大塚","162.5","11.4","+8.42","26Q2","8.05","13.95","12.98","11.62","5.97","-8.62","40.2","22.8","23.2","22.7","3D電腦工程繪圖CAD/CAM/CAE/CAID/PLM/M&E軟體產品代理銷售3D電腦工程繪圖軟體、VRAR傳媒娛樂軟體整合技術應用顧問軟體線上教育輔導、軟體人才培訓及電腦網路系統整合應用"
"3622","洋華","52.7","10.3","-3.55","26Q2","1.1","6.09","4.76","3.75","6.07","-45.6","14.3","12.8","11.1","9.92","觸控面板之製造與銷售高壓交連PE電力電纜附屬器材之製造與銷售"
"3679","新至陞","108","9.12","-6.8","26Q2","4.18","9.78","13.85","7.77","8.33","+16.6","48.9","12.3","18.4","10.7","精密塑膠模具之設計開發塑膠射出零組件"
"4105","東洋","77.3","11.1","+7.4","26Q2","3.42","6.27","5.83","4.54","5.82","+55.3","34.5","21.3","21.7","17.6","各種西藥動物用藥農藥環境用藥化粧品等之製造及銷售生物技術服務業各種醫療器材玻璃器具橡膠製品等製造銷售及食品什貨批發零售"
"4107","邦特","113","13.3","+8.2","26Q2","4.29","7.78","7.62","6.53","4.87","+8.55","27.7","15.3","15.9","14.5","醫療耗材(血液迴路管、藥用軟袋、TPU體內導管等)製造買賣醫療設備之進出口貿易"
"4126","太醫","78.1","13.1","+1.1","26Q2","2.97","5.27","6.17","5.8","5.76","+7.44","31.8","13","15.5","15.2","各種醫療器材之製造、加工、買賣醫療氣體用之器材配管及設備之施工、安裝、製造、買賣等業務"
"4305","世坤","43.35","8.9","-7.32","26Q2","2.23","3.83","3.97","2.91","7.15","+26.3","23.1","17.1","18.5","14.4","塑膠布製造反光片"
"4417","金洲","47","9.02","-2.27","26Q2","2.33","6.13","4.41","3.69","7.45","+45.9","32.9","15.1","11.4","9.97","各類漁網各類線索各類繩索"
"4441","振大環球","171.5","9.5","+13.8","26Q2","9.08","14.79","15.41","12.33","6.3","","30.5","15.6","19.7","17.4","成衣銷售成衣代工"
"4580","捷流閥業","82.6","13.7","+2.54","26Q2","3.18","5.03","8.86","7.68","4.84","","32","8.78","16","15","工業閥門的研發、設計、製造及銷售"
"4581","光隆精密-KY","48","11.8","+6.28","26Q2","2.03","4.73","5.02","6","6.25","","53.5","13.5","15.4","20.1","精密金屬加工"
"4754","國碳科","38.65","11.9","+6.4","26Q2","2.21","2.87","2.63","2.25","5.95","+82.7","49.4","16.7","16.1","14.9","其他化學材料製造業,工業助劑製造業,其他化學製品製造業,耐火材料製造業消防安全設備安裝工程業,塗料,油漆,染料及顏料製造業,"
"4763","材料*-KY","49.1","11.8","-25","26Q2","1.85","6.1","84.36","62.52","6.21","+361","18.6","33.2","62.8","74.7","二醋酸纖維絲束研發、製造與銷售"
"4771","望隼","209.5","13.8","+29.4","26Q2","8.4","12.71","11.81","10.77","3.33","","43.4","19.6","24.8","32.3","軟式拋棄型隱形眼鏡製造及銷售"
"4907","富宇","47.25","6.57","+53.2","26Q2","6.5","1.23","6","2.24","3.17","+281","63.2","5.78","31.4","13.8","委託營造廠商興建商業大樓及國民住宅出租、出售業務。有關建材、裝潢材料及建設機械之買賣及進出口業務等"
"4933","友輝","54.4","7.52","-10.5","26Q2","2.91","5.77","7.07","4.22","5.31","-26.2","25.3","12.7","16.2","10.2","LCD背光模組零組件-聚光片"
"4951","精拓科","78.2","12.3","+0.01","26Q2","3","5.98","4.25","3.31","5.75","-19.7","15.5","21.6","16.4","13.3","電腦IC產品"
"5206","坤悅","23.35","8.49","-39.2","26Q2","3.2","3.44","2.06","2.3","4.28","+1854","76.7","17.2","10.3","12.3","房地產開發"
"5212","凌網","46.4","7.32","-1.68","26Q2","1.64","4.74","3.84","3.36","9.05","+55.3","52.6","26.1","22.9","22.8","專案軟體服務圖書館軟體及電子書銷售服務金融軟體服務"
"5236","凌陽創新","136","13.2","+14.8","26Q2","5.86","8.59","8.25","7.36","6.62","-65.7","30.5","19.6","18.8","17.1","產品設計業電子零組件製造業國際貿易業"
"5258","虹堡","45.1","10.3","+16.3","26Q2","0.48","4.23","6.35","8.65","2.22","+12.8","50.2","10.7","17.3","27.5","電腦及週邊設備製造業資訊軟體服務業產品設計業"
"5314","世紀*","31","6.62","+160","26Q2","0.66","5.56","18.25","2.11","0.65","-7.53","49.6","101","84.6","20.2","保健食品批發、零售。無店面零售業。"
"5403","中菲","93.3","11.4","+0.11","26Q2","3.58","8.57","8.44","8.37","6.97","+8.16","45.2","23.2","24.4","26.1","各種電腦軟體之設計開發及銷售業務各種電腦硬體設備之代理及銷售業務各種電腦資料之處理服務"
"5469","瀚宇博","71.2","13.1","+24.4","26Q2","2.05","6.05","5.91","5.07","3.54","-48.3","43.8","9.36","9.94","10.7","電子零組件製造業電子材料批發業電子材料零售業"
"5478","智冠","98","11.5","+12.7","26Q2","4.71","7.93","7.75","7.09","7.65","-40.7","50.2","12","12.9","11.1","遊戲軟體之發行.買賣遊戲軟體雜誌.圖書之發行及買賣"
"5511","德昌","70","5.89","+13","26Q2","5.53","10.64","7.52","10.14","5.14","-52.3","55.8","18","13.6","20.7","建築及土木工程"
"5519","隆大","27.25","5.79","-51.4","26Q2","0.76","4.96","3.9","3.69","12.1","-53","59","18.1","15.3","15.4","住宅、大樓及工業廠房開發租售業營造業、投資興建公共建設業不動產租賃業"
"5520","力泰","82.8","8.41","-3.88","26Q2","5.14","9.97","8.98","7.81","8.45","+14.3","27.2","20.2","20.7","20.3","預拌混凝土"
"5525","順天","22","5.67","+1,413","26Q2","2.33","1.4","2.06","2.5","5.45","+0.77","69.1","7.81","11.3","13.6","經營委託營造廠商興建國民住宅及商業大樓之出租出售業務工業廠房開發出租辦公大樓出租等業務各種廣告企劃代理及其策劃製作業務"
"5534","長虹","76.6","13.1","+63.4","26Q2","1.05","6","7.85","6.32","6.61","-64.4","56.2","9.19","13.4","9.18","投資興建國民住宅、工業廠房、廠辦及商業大樓出租出售"
"5871","中租-KY","111.5","9.98","-0.77","26Q2","5.84","11.24","13.31","15.15","5.2","+0.55","80","11","13.5","16.6","租賃業務分期付款買賣融資及應收帳款收買暨管理業務"
"6005","群益證","32.35","6.8","+111","26Q2","3.24","2.64","2.25","1.9","1.24","-23.5","89.2","13.2","12.1","11.1","在集中交易市場及其營業處所受託買賣與自行買賣有價證券。辦理有價證券之融資、融券業務及自營期貨、期貨交易輔助人業務。承銷有價證券、有價證券股務事項之代理。"
"6026","福邦證","15.05","5.43","+160","26Q2","1.08","1.72","1.11","1.61","9.06","-66.2","63.8","11.5","7.67","12.1","在集中交易市場及營業處所受託買賣有價證券在集中交易市場及營業處所自行買賣有價證券承銷有價證券"
"6161","捷波","51.7","12.5","+28.1","26Q2","2.56","2.72","2.85","2.3","4.26","-55.6","30.8","11.6","13.8","11.8","電腦及週邊產品"
"6177","達麗","48.75","5.37","+638","26Q2","5.03","3.84","5.01","5.08","6.15","-53.1","73.7","16.8","22","24.8","委託營造廠商興建商業大樓及國民住宅出租、出售都市更新重建不動產買賣及租賃"
"6186","新潤","31.75","6.27","-52.2","26Q2","2.25","7.81","5.63","2.97","15.8","+98.1","71.6","33.8","27.5","14.2","住宅及大樓開發租售業、不動產買賣業、不動產租賃業。"
"6192","巨路","115.5","11.2","+12.5","26Q2","5.3","10.06","10.48","8.17","5.02","-9.06","40","13.3","14.9","12.5","程控儀器買賣及程控系統整合工程提供電子及通信元件之經銷代理"
"6201","亞弘電","44.45","13.8","-10.7","26Q2","1.52","3.71","4.68","4.63","6.97","+28.6","32.2","11.7","14.9","15.3","專業音訊產品小家電產品.醫療器材產品電子零組件製造業"
"6203","海韻電","60.3","9.16","-30","26Q2","1.89","5.51","3.5","7.58","6.63","-43.8","23.8","15","9.62","21.6","交換式電源供應器(Switching Power Supplies,SPS)之生產與銷售"
"6266","泰詠","24.6","12.5","-4.15","26Q2","0.92","2","2.62","2.15","7.24","+87","35.5","12.1","15.8","13.3","電子產品、通信器材之設計及生產製造(含加工設計及製造)電子元件、半成品及成品之進出口業務電子產品之設計及生產製造技術諮詢"
"6279","胡連","118","10.4","+12.4","26Q2","4.4","10.74","12.79","9.24","4.66","+3.12","42.6","15.4","19.4","15.9","電子零件(端子)五金機械配件等製造加工及買賣(模具端子壓著機)塑膠件模具製造,電子零組件製造業(端子)及電子材料,模具批發零售"
"6294","智基","28.75","10.8","-12.6","26Q2","2.13","2.78","1.79","9.46","10.4","+2262","56.8","12.4","6.66","31.8","短期補習班業"
"6482","弘煜科","24.75","13.5","-30.6","26Q2","0.47","2.32","3.53","1.65","8.08","+98.3","28.3","16.2","23.8","11.2","遊戲軟體研發及銷售"
"6498","久禾光","74","9.78","+23.5","26Q2","3.6","6.51","5.57","6.17","6.08","-195","41.9","23.2","25.8","34.1","各式光學鏡頭之加工製造買賣"
"6509","聚和","46.95","13","+5.8","26Q2","2.16","2.87","2.71","2.48","2.97","+126","32.5","11","11.2","11.8","精密化學品特用化學品辦公文具用品"
"6523","達爾膚","89.5","13.6","-15.1","26Q2","2.2","7.78","10.57","9.43","6.7","-4.54","22.5","24.9","32.5","28.3","醫學美容保養品、保健食品、美容儀器等相關產品之研發及銷售"
"6527","明達醫","74.1","12.6","-11.1","26Q2","3.01","5.8","5.02","4.13","3.91","+21.7","23.9","14.9","14.2","12.7","醫療相關儀器之設計、製造及銷售"
"6532","瑞耘","99.8","12.4","+8.7","26Q2","2.01","7.31","4.03","3.59","3.01","+23.1","25.2","23.2","14.2","13.6","半導體零組件系統設備"
"6556","勝品","60.7","7.85","+4.1","26Q2","4.02","6.79","8.85","6.17","5.77","-36.2","27.7","12.4","17.9","13.6","電腦及週邊設備軟硬體、電器及視聽電子產品製造及銷售有線無線通信機械器材製造及銷售電子零組件、電子材料製造及銷售"
"6577","勁豐","79.9","11","+3.52","26Q2","3.52","5.64","6.63","7.11","6.26","+1.34","45.8","22.2","29","23.7","醫療及特殊應用嵌入式顯示器模組"
"6590","普鴻","65.5","12.4","+11.3","26Q2","2.5","5.12","5.04","6.08","4.27","+150","32","17.7","15.3","20.6","資訊軟體服務電子資訊供應服務"
"6605","帝寶","137","8.46","0","26Q2","7.71","13.97","18.98","14.29","4.74","-6.21","39.1","11.6","17","14","汽車車燈汽車百貨零件"
"6629","泰金-KY","107.5","9.41","+92.5","26Q2","6.46","6.46","11.49","4.66","5.76","","32.7","14.8","30.9","16.2","家飾鑄件開發、生產及銷售"
"6637","醫影","56.4","10.2","-30.8","26Q2","2.6","7.17","7.17","5.66","7.98","","44.1","18.4","22.7","22.8","醫療設備經銷醫院設備租賃、設備維修醫藥品銷售"
"6671","三能-KY","23.1","10.6","-12.7","26Q2","0.65","2.37","3.18","2.89","5.19","","20.2","8.36","11.2","10.5","各式烘焙器具之研發、製造與銷售"
"6703","軒郁","102","10.8","+15.8","26Q2","4.13","9.9","10.16","14.66","4.71","","44.4","24.2","21.8","34.2","美妝保養品及生技保健之研發與銷售除許可業務外，得經營法令非禁止或限制之業務"
"6741","91APP*-KY","59.6","12.5","+32.4","26Q2","2.3","4.4","4.22","3.37","3.45","","41.3","15.8","16.4","15","新零售軟體開發暨服務數據 x 電商服務"
"6753","龍德造船","137","13.1","+23.6","26Q2","6.55","5.98","6.25","5.43","0.91","","50.9","16.3","21","23.2","船舶及其零件製造業船舶維修"
"6846","綠茵","58.3","12.4","-11.6","26Q2","1.7","5.39","5.43","5.04","6.77","","62.9","15.9","17.7","19.2","保健食品及原料之研發、製造、銷售。"
"6855","數泓科","117","11.8","-3.12","26Q2","4.15","7.85","9.2","6.29","4.7","","40","20.5","26.7","18.7","智慧製造、智慧醫療、數位工具等系統與產品之研發、製造與銷售"
"6881","潤德","215","10.5","-3.55","26Q2","9.51","19.42","15.52","10.97","8.6","","68.8","32.4","32.4","31.2","室內裝潢之設計及施工、庭園綠化設計展市會場和博覽會場之設計與佈置傢俱之銷售、組裝及進出口等業務"
"6903","巨漢","305.5","13.9","+254","26Q2","14.14","10.62","9.28","13.54","2.78","","44.3","21.8","22.1","39.2","承攬高科技產業無塵室及機電空調之統包工程。"
"6910","德鴻","24.8","13.4","+2.09","26Q2","0.9","2","1.12","1.57","7.06","","23.2","13.3","8.87","12.9","軟體產品研發生產、銷售與訂閱服務雲端應用訂閱服務軟體整合開發服務"
"6914","阜爾運通","122","12.2","+8.93","26Q2","4.65","9.6","7.14","9.11","4.92","","67.9","17.8","16","26.3","停車場自動化設備製造及銷售停車場收費及管理服務其他"
"6951","青新-創","71.8","13.1","+22.6","26Q2","2.83","5.39","4.87","2.61","5.57","","34.9","22.3","24.3","16.5","醫療及事業廢棄物清運廢水處理青新木銷售"
"6996","力領科技","183","12.1","+28.2","26Q2","7.84","12.15","15.37","11.74","5.47","","22","18.6","26.8","26.9","多樣化整合型的車用顯示器驅動晶片之研發、設計及銷售"
"7631","聚賢研發-創","141","13.4","+116","26Q2","6.26","6.56","5.51","8.74","3.65","","51.4","18.7","18.7","34.8","高科技廠房廠務供應系統工程之規劃、設計、施工設備服務"
"7713","威力德生醫","74","13.5","+20.4","26Q2","2.9","4.64","4.09","3.74","5.54","","52.4","19.2","19.4","20.4","檢驗試劑資訊服務收入"
"7736","虎山","69.9","12.6","-17.2","26Q2","2.42","5.04","7.19","4.34","5.44","","22.2","11.6","18.6","12.9","車門把手、車用鏡頭/雷達及相關零配件之開發生產及銷售"
"7757","金色三麥","88.6","10.9","+3.79","26Q2","3.23","8.97","10.01","10.54","8.75","","50.3","20.5","26.8","32","精釀啤酒釀造餐廳經營各式飲品銷售"
"7786","東方風能","116.5","10.9","+35.5","26Q2","4.92","11.11","7.94","7.07","4.81","","49.3","23.5","27.6","34.6","船舶租賃、離岸風電工程管理、離岸風場長期運維等海事工程服務"
"7791","皇家可口","55.3","13.2","-7.58","26Q2","2.71","5.61","5.34","3.66","6.89","","16.2","11.9","11.6","11.4","冰品急凍熟麵"
"7805","威聯通","502","10.6","+11.7","26Q2","23.21","44.56","17.58","9.16","7.57","","31.6","19.6","16","15.4","數據儲存解決方案銷售"
"8049","晶采","24.45","12.7","+0.26","26Q2","0.97","1.72","2.5","3.39","5.73","+76.4","17.2","8.84","13.4","18.7","資料儲存及處理設備製造.電子零組件製造業.其他機械器具零售(液晶顯示器及液晶顯示模組及觸控螢幕).事務性機器設備零售"
"8081","致新","251.5","13.7","+0.37","26Q2","9.13","17.76","17.91","17.33","6.36","-28.6","29.3","16.7","18","19","研究.開發.生產.製造及銷售數位與類比混合IC及特殊應用IC"
"8083","瑞穎","157.5","13.8","+1.75","26Q2","6.32","9.8","10.19","6.79","6.35","+1.34","41.4","28","30.4","20.2","運動器材之零組件、培林、機械零組件之製造及買賣業務電子、電腦零組件之製造及買賣業務前項產品之進出口貿易業務"
"8272","全景軟體","63.5","13.9","-0.8","26Q2","1.45","4.66","4.04","4.79","4.41","","30.8","14.9","14.4","20.9","資訊軟體服務業資料處理服務業電子資訊供應服務業"
"8279","生展","80","9.58","-5.74","26Q2","3.81","10.02","8.86","10.14","6.25","+92.5","25.9","11.8","11","13.3","微生物醫藥原料藥製造、銷售、買賣業生化營養品製造、銷售、買賣業預防醫學、動物保健銷售、買賣業"
"8342","益張","88","11.6","+3.72","26Q2","3.94","5.97","7.64","4.71","5.68","+55.7","43.5","18.7","25.7","17.2","商用置物設備系列製造加工買賣置物架及功能架系列製造加工買賣伸線加工買賣"
"8390","金益鼎","97.1","10.8","+43.3","26Q2","5.16","6.6","4.84","5.57","3.91","-336","21.5","18","14.9","18.9","廢棄物清除處理業務及貴金屬回收及處理業務。銅、錫、鎳、鋁之金屬五金加工業務。機械五金、電子零件、塑膠廢料、....等之報廢材料買賣業務。"
"8401","白紗科","22.8","8.7","+4.6","26Q2","1.08","2.63","2.59","1.81","5.26","-55.1","40","15.9","16","10.8","包裝盒、標籤印刷產品之製造加工買賣。名片、海報、書冊、信封等紙製品印刷之製造加工買賣。桌月曆、手提袋及前各項有關之進出口貿易業務。"
"8410","森田","30.5","6.92","-22.8","26Q2","1.03","3.27","7.54","5.33","5.25","-103","19.7","6.44","15.7","12.3","印刷業製版業電腦及其週邊設備製造業"
"8415","大國鋼","37.35","9.34","+21.4","26Q2","2.17","3.05","2.22","3.04","4.02","-50.6","35.4","11","8.2","11.7","扣件買賣"
"8416","實威","169","11.5","+11.4","26Q2","6.58","13.46","11.01","10.23","5.03","+12.1","27","23.9","21.1","20.7","3D 繪圖軟體 ( SOLIDWORKS)3D CAD/CAM/CAE/CAID軟體銷售PDM產品研發生產及銷售, 顧問輔導與客製化服務"
"8424","惠普","68.8","11.1","-2.03","26Q2","3.24","5.8","4.61","4.24","7.27","-6.46","18.5","18.3","15","13.9","矽酸鈣板、纖維水泥板製造及銷售"
"8433","弘帆","54.7","7.53","+12.6","26Q2","2.79","3.17","9.84","9.35","7.68","+68.4","48.7","6.92","21.9","23.7","流行髮飾.梳子.珠寶.手袋及其他等進出口業務"
"8435","鉅邁","53.4","10.2","+11.9","26Q2","2.88","3.91","4.68","4.37","5.99","-2.76","28","15.4","18.6","17.8","專業水處理應用與技術服務等項目"
"8436","大江","112","11.9","-2.52","26Q2","4.13","8.68","7.6","7.73","5.37","+56.2","36.7","11.9","10.1","9.94","保健食品及保養品之研發、製造及銷售"
"8446","華研","85.6","10.9","+18.3","26Q2","3.85","10.3","11.44","8.23","9.35","+17.2","31.6","25.1","30.8","25.1","流行音樂之製作及發行著作權授權藝人演藝經紀"
"8481","政伸","40.6","12","+2.65","26Q2","1.58","3.25","3.01","1.88","6.77","-0.59","18","12.6","12.2","7.56","自行車及零配件貼標產品及銷售運動器材貼標產品及銷售其他各項網版印刷產品及銷售"
"8487","愛爾達-創","70.4","13.2","+80.3","26Q2","3.3","4.03","6.85","5.98","6.83","+40.1","50.4","15.6","29","31.9","數位內容廣告託播代理專案及其他"
"8930","青鋼","30.1","11.4","-3.64","26Q2","1.19","2.4","3.01","3.12","7.31","-215","34.3","13","16.2","18.1","輕鋼架.防火門之製造,買賣業務經營有關進出口業務各種機械之製造及買賣業務"
"8936","國統","50.3","11.6","+17.8","26Q2","1.87","4.08","3.37","2.88","5.96","-65","43.7","13.1","11.8","11.3","預力混凝土管及各種水泥製品、預拌混凝土製造買賣前項有關水泥製品之自來水管承裝業務有關自來水管之零件,鋼管包覆及另件包覆等製造買賣及承裝業務"
"9927","泰銘","69.5","11.7","+22.8","26Q2","2.27","4.26","6.29","5.94","7.19","-32.5","21","10.7","16.3","16","鉛錠、鉛合金錠、紅丹粉、黃丹粉、氧化鉛等製造加工買賣前各項有關國內外產品代理經銷報價、投標業務及進出口貿易業務一般及事業廢棄物清除、回收處理業務"
"9941","裕融","80.9","9.81","-1.74","26Q2","3.86","7.68","8.88","11.07","5.41","-5.9","85.9","11.4","13","17","汽車分期付款買賣業務展示車業務"
"9942","茂順","114","12.5","+14.6","26Q2","4.76","8.15","8.67","11.77","6.14","-19.4","35.2","16","17.7","26.3","汽車、機車、機械、交通器材用油封之加工製造及進出口業務CQ01010模具製造業、CB01010機械設備製造業、F401030製造輸出業C804020工業用橡膠製品製造業、F401010國際貿易業"
"9943","好樂迪","51","8.4","-5.18","26Q2","2.59","5.4","7.74","8.81","6.86","+54.3","35.2","11.5","16.2","19.1","提供伴唱視聽供人唱歌"
"9958","世紀鋼","88.4","12.6","+36.2","26Q2","4.08","6.57","6.93","4.46","5.09","+193","56.4","12.1","13.1","11.2","有關各種鐵骨/不銹鋼桶/建築材料等加工製造買賣及相關業務;按裝工程業務(營造業除外)/大樓鋼結構買賣代理國內外有關廠商產品經銷/報價投標業務"
