"代碼","名稱","最新價","市盈率(TTM)","市盈率(靜)","所屬行業","股息率TTM","平均股息率-近3年","經營利潤率-近3次平均年度報告"
"ADT","ADT Inc","7.542","10.623","11.26","安全與保護","2.92%","2.78%","25.17%"
"INGR","宜瑞安","101.550","11.038","9.08","包裝食品","3.23%","2.78%","13.27%"
"WEN","溫蒂漢堡","7.900","11.970","9.29","餐廳","7.09%","7.05%","17.17%"
"PHI","菲律賓長途電話","18.260","8.951","8.63","通訊服務","8.43%","8.93%","23.85%"
"T","AT&T","25.855","8.561","8.50","通訊服務","4.29%","5.85%","19.92%"
"TIMB","TIM","18.801","10.634","10.76","通訊服務","8.30%","9.08%","22.72%"
"TLK","印尼電信","14.830","14.771","14.92","通訊服務","8.23%","6.40%","26.63%"
"VZ","Verizon","50.190","13.070","12.36","通訊服務","5.57%","7.68%","21.30%"
"ARLP","Alliance Resource","26.160","12.761","10.90","燃料煤","9.17%","14.17%","20.37%"
"NRP","Natural Resource","113.375","14.461","11.29","燃料煤","2.65%","3.19%","71.56%"
"AES","AES發電","14.800","5.649","11.75","多元化公用事業","4.76%","4.99%","16.79%"
"VICI","VICI Properties","25.675","9.952","9.84","多元化REITs","7.01%","6.22%","91.98%"
"AKO.A","Andina Bottling-A","24.500","13.116","14.15","非酒精飲料","1.45%","7.21%","13.43%"
"BKE","巴克爾","42.985","9.904","10.38","服裝零售","3.26%","3.56%","20.49%"
"CSV","Carriage Services","33.570","12.032","10.33","個性化服務","1.34%","1.36%","21.95%"
"HRB","H&R布洛克稅務","51.240","9.053","9.05","個性化服務","3.28%","3.29%","22.44%"
"CCEC","Capital Clean Energy Carriers","22.650","8.712","7.86","海運","2.65%","3.67%","51.19%"
"CMRE","Costamare","15.540","5.886","5.43","海運","2.96%","4.93%","54.49%"
"DAC","達那俄斯","154.620","5.234","5.78","海運","2.30%","4.23%","53.28%"
"HAFN","Hafnia","8.945","6.881","13.35","海運","8.18%","19.44%","24.26%"
"CPA","科帕控股","129.340","8.492","7.94","航空服務","5.13%","5.77%","22.61%"
"RYAAY","Ryanair","54.700","13.200","11.56","航空服務","1.75%","1.49%","13.92%"
"DRD","DRDGOLD","29.470","9.669","9.67","黃金","1.88%","3.50%","38.07%"
"GFI","金田","47.960","9.868","12.17","黃金","3.26%","2.69%","41.06%"
"HMY","哈莫尼黃金","20.640","7.152","7.15","黃金","2.04%","1.83%","29.93%"
"TGLS","Tecnoglass Holdings","39.309","13.792","11.49","建築材料","1.53%","0.86%","27.23%"
"PRDO","Perdoceo Education","32.850","11.945","13.57","教育培訓","1.83%","1.71%","28.57%"
"UL","聯合利華(英國)","64.260","13.080","12.84","家庭和個人用品","3.47%","3.79%","19.19%"
"VNT","Vontier","32.935","13.666","11.93","科技儀器","0.30%","0.28%","17.95%"
"CALM","Cal-Maine Foods","77.630","11.709","11.71","農產品","6.18%","5.76%","20.08%"
"UAN","CVR Partners","132.630","8.749","14.22","農業投入品","9.26%","26.56%","22.80%"
"GNTX","真泰克","22.745","12.034","13.07","汽車零件","2.11%","1.64%","20.33%"
"KSPI","Kaspi.kz","107.180","8.646","8.72","基礎設施軟件","3.37%","2.39%","44.95%"
"CUVL","Clinuvel Pharmaceuticals","6.241","13.030","13.03","生物技術","0.56%","0.43%","48.21%"
"CIG","Energy Company of Minas Gerais","2.145","6.745","6.31","受監管電力","11.66%","13.07%","17.20%"
"CIG.C","Energy Company of Minas Gerais-Common","3.291","10.347","9.68","受監管電力","7.60%","9.49%","17.20%"
"SPH","Suburban Propane","17.500","9.067","10.80","受監管天然氣","7.43%","8.59%","13.93%"
"TRN","Trinity Industries","28.015","6.800","9.19","鐵路運輸","4.35%","4.12%","13.85%"
"CTSH","高知特","64.680","13.880","14.18","資訊技術服務","1.98%","1.58%","15.39%"
"G","簡伯特","37.760","11.238","12.06","資訊技術服務","1.89%","1.53%","14.56%"
"WIT","Wipro","1.800","13.534","13.53","資訊技術服務","6.50%","2.81%","16.05%"
"NVO","諾和諾德","46.855","11.538","13.12","一般藥品製造商","3.81%","2.19%","43.22%"
"UHS","Universal Health Services","170.160","6.945","7.37","醫療保健設施","0.47%","0.45%","10.11%"
"OTEX","Open Text","24.405","9.459","9.46","應用軟件","4.51%","4.27%","20.33%"
"APA","阿帕奇石油","44.350","9.357","11.12","石油天然氣勘探與開發","2.25%","4.02%","34.75%"
"BSM","Black Stone Minerals","14.810","12.342","11.57","石油天然氣勘探與開發","8.10%","13.12%","58.64%"
"CNQ","加拿大自然資源","51.905","12.788","13.93","石油天然氣勘探與開發","3.29%","5.08%","22.56%"
"DVN","戴文能源","49.170","10.689","11.79","石油天然氣勘探與開發","2.12%","4.73%","27.01%"
"GPRK","GeoPark","12.110","9.680","12.75","石油天然氣勘探與開發","1.90%","6.77%","38.86%"
