﻿﻿代碼,名稱,最新價,市盈率(TTM),市盈率(靜),所屬行業,股息率TTM,平均股息率-近3年,經營利潤率-近3次平均年度報告
2337,Ichigo,394,9.527,9.85,房地產業,2.92%,2.61%,28.85%
2986,LA控股,"2,784",13.861,9.66,房地產業,4.19%,4.60%,18.80%
3231,野村房地產控股,935.0,9.672,9.67,房地產業,4.28%,3.68%,15.21%
3236,Properst,288,5.147,5.15,房地產業,2.78%,2.73%,12.04%
3245,Dear Life房地產,"1,118",11.595,9.14,房地產業,5.46%,5.25%,11.23%
3482,Loadstar Capital,"2,536",5.382,5.39,房地產業,3.39%,2.74%,30.68%
3498,霞關資本,"7,120",11.734,13.90,房地產業,1.69%,1.08%,14.84%
5533,Elitz控股,"2,030",9.447,10.17,房地產業,3.35%,3.05%,16.94%
1717,明豐FW,941,11.857,11.86,服務業,4.68%,4.43%,20.84%
2418,Tsukada環球控股,602,10.627,5.98,服務業,2.16%,2.42%,11.33%
4317,Ray,561,5.690,5.69,服務業,3.57%,3.29%,10.75%
4848,福爾卡斯控股,"1,834",13.749,13.47,服務業,3.49%,3.76%,11.07%
6035,IR日本控股,733,14.489,14.49,服務業,3.82%,3.02%,19.07%
6062,Charm Care,"1,405",11.356,11.36,服務業,2.85%,2.53%,10.09%
6088,Sigmaxyz控股,552,11.580,11.58,服務業,4.71%,2.64%,21.93%
6535,i-mobile,514,11.904,10.01,服務業,5.06%,4.11%,19.87%
6547,Greens,"2,127",5.943,5.94,服務業,2.44%,1.76%,12.62%
7047,Port,"2,100",10.330,10.33,服務業,0.57%,0.26%,13.84%
7367,CELM,330,12.458,12.46,服務業,4.55%,3.86%,12.75%
7374,Interworks Confidence,"1,530",11.906,11.91,服務業,4.90%,4.18%,14.79%
9163,Nareru集團,"2,349",10.700,9.89,服務業,4.90%,4.68%,13.27%
9723,京都酒店,636,9.199,8.78,服務業,0.47%,0.51%,10.52%
9765,Ohba,"1,177",13.325,13.33,服務業,3.74%,3.84%,11.14%
4932,Almado,760,13.554,13.55,化學品,5.53%,5.23%,10.23%
255A,Gltechno Holdings,"4,940",12.037,12.04,精密儀器,2.49%,2.53%,15.04%
2726,PAL集團,"1,467",14.381,14.38,零售業,2.73%,2.19%,10.87%
7638,New Art控股,"1,404",10.245,10.25,零售業,5.70%,3.48%,14.32%
9003,相鐵控股,"2,606.0",10.079,10.08,陸運,2.69%,2.39%,12.10%
7191,Entrust,"1,160",14.910,14.91,其他金融服務,3.19%,2.90%,22.56%
7199,普瑞姆集團,"2,100",13.388,13.39,其他金融服務,2.57%,2.17%,19.14%
3569,世聯,"3,420",12.963,12.96,紡織產品,2.22%,2.39%,11.08%
2307,Cross Cat,"1,060",9.824,9.82,資訊及通訊業,3.49%,2.97%,11.06%
2317,Systena信息技術,451,14.250,14.25,資訊及通訊業,3.10%,3.46%,14.45%
2349,Nippon Information Development,"2,468",10.775,10.78,資訊及通訊業,1.18%,1.22%,12.51%
2359,日本核心集團,"2,145",10.708,10.71,資訊及通訊業,2.80%,2.71%,13.46%
3671,SOFTMAX,304,14.113,12.74,資訊及通訊業,3.29%,3.09%,11.31%
3771,System Research,"1,888",11.988,11.99,資訊及通訊業,3.71%,3.49%,11.70%
3843,FreeBit,"1,723",11.465,12.77,資訊及通訊業,1.74%,1.45%,10.12%
3844,Comture,"1,327",12.883,12.88,資訊及通訊業,3.77%,2.88%,12.81%
3916,DIT,944,13.285,13.28,資訊及通訊業,3.97%,3.34%,12.21%
3962,Change控股,"1,000",10.031,10.03,資訊及通訊業,2.30%,1.70%,24.57%
3991,Wantedly,962,10.755,8.44,資訊及通訊業,2.08%,1.47%,33.59%
4012,Axis,"1,737",10.321,11.80,資訊及通訊業,2.65%,2.36%,10.49%
4054,Japan PropTech,522,12.551,12.55,資訊及通訊業,1.72%,1.09%,17.21%
4287,Just Planning,484,11.253,11.25,資訊及通訊業,2.27%,2.49%,23.35%
4356,應用技術,"1,633",11.984,10.19,資訊及通訊業,2.45%,2.06%,13.75%
4486,Unite and Grow,675,10.723,13.03,資訊及通訊業,1.93%,2.03%,14.59%
4674,Cresco信息技術,"1,925",14.828,14.83,資訊及通訊業,3.32%,3.50%,10.04%
4687,梯遞息軟件,"1,034",12.593,12.59,資訊及通訊業,3.19%,2.60%,10.34%
4832,JFE Systems,"1,919",14.130,14.13,資訊及通訊業,3.54%,3.35%,11.62%
9450,Fibergate,785,14.607,14.61,資訊及通訊業,3.44%,2.97%,15.79%
9687,KSK,"4,660",13.233,13.23,資訊及通訊業,3.88%,3.48%,10.49%
9709,NCS&A,"1,324",9.992,9.99,資訊及通訊業,4.38%,4.00%,10.15%
9739,日本系統軟件(NSW),"2,729",10.960,10.96,資訊及通訊業,4.58%,3.56%,11.39%
7177,GMO金融控股,"1,160",12.719,13.10,證券・商品期貨交易業,4.44%,4.98%,25.64%
