"代碼","名稱","最新價","市盈率(TTM)","市盈率(靜)","所屬行業","資產負債率-最新年度報告","股息率TTM","平均股息率-近3年"
"02328","中國財險","14.280","7.108","7.11","保險","66.45%","5.39%","5.81%"
"00151","中國旺旺","3.280","8.913","8.91","包裝食品","30.43%","4.85%","3.16%"
"01497","燕之屋","5.800","12.832","12.83","包裝食品","46.13%","5.24%","3.86%"
"01837","五谷磨房","1.660","12.388","12.39","包裝食品","18.41%","4.16%","9.40%"
"02321","雙財莊","0.500","7.813","7.81","包裝食品","38.81%","2.80%","4.24%"
"09985","衛龍美味","7.680","11.834","11.83","包裝食品","35.61%","5.13%","5.78%"
"06862","海底撈","11.250","13.993","13.99","餐飲","54.71%","6.42%","6.05%"
"00836","華潤電力","17.360","6.191","6.19","常規電力","67.35%","6.49%","8.14%"
"00811","新華文軒","8.820","6.138","6.27","出版","33.24%","7.81%","8.50%"
"01979","天寶集團","2.010","5.447","5.45","電子零件","60.57%","6.37%","10.94%"
"00027","銀河娛樂","30.020","12.318","12.32","賭場及博彩","16.24%","4.99%","2.81%"
"00220","統一企業中國","7.300","13.878","13.88","非酒精飲料","44.46%","7.53%","8.53%"
"00322","康師傅控股","10.800","12.217","12.22","非酒精飲料","66.33%","8.54%","8.40%"
"00506","中國食品","3.230","9.472","9.47","非酒精飲料","42.56%","5.48%","6.16%"
"00709","佐丹奴國際","1.380","10.299","10.30","服裝","40.61%","10.07%","11.11%"
"01234","中國利郎","3.490","7.505","7.51","服裝","38.45%","9.17%","9.77%"
"01346","利華控股集團","1.270","6.580","6.58","服裝","36.25%","7.87%","12.18%"
"01982","南旋控股","0.790","5.985","5.98","服裝","48.06%","15.82%","24.87%"
"02020","安踏體育","73.450","13.655","13.65","服裝","41.75%","3.34%","3.03%"
"02232","晶苑國際","6.030","9.837","9.84","服裝","26.24%","6.77%","8.57%"
"02313","申洲國際","41.820","9.744","9.74","服裝","34.16%","6.17%","3.80%"
"03306","江南布衣","18.690","9.308","10.19","服裝","46.82%","7.62%","15.16%"
"03998","波司登","4.430","11.447","11.45","服裝","37.50%","6.34%","6.64%"
"06110","滔搏","1.860","8.052","8.05","服裝零售商","38.71%","15.59%","8.04%"
"01044","恒安國際","22.580","9.296","9.30","個人護理","49.12%","6.92%","6.47%"
"01184","S.A.S. DRAGON","6.780","7.618","7.62","工業零件及器材","67.34%","5.90%","11.67%"
"01882","海天國際","19.400","8.472","8.47","工業零件及器材","35.45%","4.12%","3.78%"
"02283","東江集團控股","1.980","7.557","7.56","工業零件及器材","35.06%","10.35%","15.15%"
"00752","PICO FAR EAST","2.290","6.775","6.72","廣告及宣傳","59.16%","8.21%","9.32%"
"09919","艾德韋宣集團","0.770","6.814","6.81","廣告及宣傳","45.41%","11.43%","12.50%"
"00293","國泰航空","13.100","7.355","7.36","航空服務","66.05%","6.56%","7.31%"
"00598","中國外運","4.020","6.271","6.47","航空貨運及物流","43.78%","8.38%","9.95%"
"02057","中通快遞-W","182.200","13.371","13.87","航空貨運及物流","26.24%","3.02%","3.52%"
"00316","東方海外國際","126.700","7.104","7.10","航運及港口","24.09%","7.02%","10.96%"
"01308","海豐國際","33.800","9.630","9.63","航運及港口","28.08%","8.84%","13.90%"
"01919","中遠海控","13.470","7.273","6.04","航運及港口","41.42%","8.35%","13.69%"
"03877","中國船舶租賃","2.110","7.081","7.08","航運及港口","64.96%","7.58%","7.95%"
"06198","青島港","6.380","6.973","7.10","航運及港口","24.73%","6.10%","7.28%"
"01866","中國心連心化肥","8.590","9.347","10.60","化肥及農用化合物","65.95%","4.31%","7.07%"
"03330","靈寶黃金","15.760","12.710","12.71","黃金及貴金屬","56.92%","1.43%","3.69%"
"02145","上美股份","28.340","9.246","9.25","護膚與化妝品","42.13%","4.95%","3.89%"
"02367","巨子生物","26.960","13.500","13.50","護膚與化妝品","8.45%","5.15%","3.45%"
"00837","譚木匠","6.160","8.095","8.09","傢具","13.33%","6.22%","7.50%"
"01999","敏華控股","3.190","6.758","6.76","傢具","32.16%","8.53%","5.63%"
"03978","卓越教育集團","3.040","7.716","7.72","教育","63.12%","7.73%","4.18%"
"00921","海信家電","24.760","9.787","9.72","家庭電器","69.25%","5.88%","7.04%"
"01692","登輝控股","1.400","8.046","8.05","家庭電器","34.37%","10.36%","10.54%"
"06690","海爾智家","20.820","9.208","9.02","家庭電器","57.41%","1.42%","3.69%"
"00168","青島啤酒股份","44.700","11.512","12.00","酒精飲料","39.55%","6.04%","5.11%"
"06038","信越控股","0.335","6.091","6.09","樓宇建造","38.28%","10.45%","31.45%"
"01378","中國宏橋","20.860","8.174","8.17","鋁","42.25%","7.91%","14.98%"
"02600","中國鋁業","7.660","7.913","9.36","鋁","46.01%","3.97%","3.69%"
"01171","兗礦能源","10.930","9.991","11.63","煤炭","62.19%","5.17%","10.60%"
"01585","雅迪控股","9.130","8.813","8.81","摩托車及其他","65.12%","5.81%","4.19%"
"02333","長城汽車","8.590","7.152","6.72","汽車","60.99%","4.68%","3.43%"
"01571","信邦控股","3.960","6.816","6.82","汽車零件","17.48%","12.60%","16.98%"
"02488","元征科技","6.980","7.513","7.51","汽車零件","43.04%","11.58%","6.31%"
"03606","福耀玻璃","51.700","13.246","13.09","汽車零件","46.40%","4.56%","3.92%"
"01910","新秀麗","13.930","8.878","8.45","其他服飾配件","67.63%","5.75%","4.11%"
"01913","普拉達","39.240","12.925","12.92","其他服飾配件","57.63%","3.83%","2.92%"
"02683","華新手袋國際控股","1.120","5.308","5.31","其他服飾配件","29.79%","10.71%","18.89%"
"02245","力勤資源","15.410","7.580","7.58","其他金屬及礦物","56.65%","4.48%","4.88%"
"00398","東方表行集團","3.300","8.919","8.92","其他零售商","20.83%","11.36%","17.58%"
"01929","周大福","11.610","12.716","12.72","其他零售商","62.78%","4.65%","6.89%"
"02176","賽迪顧問","0.750","6.356","6.36","其他支援服務","64.90%","13.73%","24.26%"
"02180","萬寶盛華","5.290","6.320","6.32","其他支援服務","51.51%","33.46%","18.82%"
"02688","新奧能源","42.100","7.290","7.29","燃氣供應","48.99%","7.13%","5.47%"
"09908","嘉興燃氣","8.450","6.978","6.98","燃氣供應","63.39%","5.35%","7.75%"
"02031","澳至尊","0.405","8.265","8.27","膳食補充品","15.83%","4.94%","4.94%"
"00536","貿易通","1.120","10.566","10.57","數碼解決方案服務","28.96%","9.11%","13.30%"
"00640","星謙發展","2.400","6.504","6.09","特殊化工用品","25.75%","7.67%","14.90%"
"01861","保寶龍科技","2.890","11.514","11.51","特殊化工用品","28.05%","2.42%","3.27%"
"00177","江蘇寧滬高速公路","9.430","8.830","9.34","鐵路及公路","42.96%","5.94%","7.55%"
"00576","浙江滬杭甬","6.130","6.339","6.28","鐵路及公路","68.29%","7.31%","8.10%"
"00995","安徽皖通高速公路","14.840","12.016","12.19","鐵路及公路","53.25%","5.11%","8.41%"
"01785","成都高速","1.880","5.266","5.09","鐵路及公路","42.74%","7.45%","8.23%"
"01126","德林國際","6.490","6.338","6.34","玩具及消閒用品","24.21%","9.24%","15.37%"
"00816","金茂服務","2.210","5.816","5.82","物業服務及管理","65.13%","10.68%","10.59%"
"02156","建發物業","2.520","8.936","8.94","物業服務及管理","54.96%","7.94%","8.24%"
"02669","中海物業","3.350","7.267","7.27","物業服務及管理","54.24%","5.97%","3.62%"
"03316","濱江服務","22.900","9.602","9.60","物業服務及管理","64.44%","3.61%","8.62%"
"03658","新希望服務","1.800","6.122","6.12","物業服務及管理","33.03%","11.06%","15.36%"
"06049","保利物業","26.700","8.613","8.61","物業服務及管理","41.17%","6.02%","5.02%"
"06668","星盛商業","1.230","7.885","7.88","物業服務及管理","44.38%","10.98%","13.13%"
"09979","綠城管理控股","1.860","8.017","8.02","物業服務及管理","43.04%","18.66%","10.06%"
"02209","喆麗控股","2.400","5.556","5.56","線上零售商","51.11%","4.17%","7.07%"
"00303","VTECH HOLDINGS","51.200","12.352","12.35","消費性電訊設備","50.17%","9.31%","12.26%"
"00210","達芙妮國際","0.335","5.154","5.15","鞋類","15.01%","5.97%","7.30%"
"01361","361度","4.160","6.218","6.22","鞋類","26.79%","7.40%","6.59%"
"01368","特步國際","3.850","7.143","7.14","鞋類","39.63%","7.09%","8.28%"
"01836","九興控股","12.980","10.204","10.20","鞋類","22.89%","11.15%","13.98%"
"02331","李寧","15.350","12.212","12.21","鞋類","26.74%","4.15%","3.54%"
"00239","白花油","2.500","8.532","8.53","藥品","12.75%","7.40%","12.31%"
"01513","麗珠醫藥","25.400","10.144","10.07","藥品","35.18%","6.47%","6.14%"
"01530","三生製藥","19.060","5.133","5.13","藥品","16.04%","1.24%","3.04%"
"01681","康臣葯業","13.550","9.522","9.52","藥品","24.53%","5.43%","11.22%"
"02633","雅各臣科研製藥","1.050","6.954","6.95","藥品","34.34%","15.05%","12.28%"
"03933","聯邦制藥","9.320","7.966","7.97","藥品","43.45%","6.20%","7.79%"
"06896","金嗓子","3.190","8.484","8.48","藥品","39.86%","10.66%","21.60%"
"01830","完美醫療","1.210","8.521","8.52","醫療及醫學美容服務","53.50%","10.66%","8.62%"
"03600","現代牙科","6.480","10.141","10.14","醫療設備及用品","27.41%","3.97%","4.48%"
"06929","業聚醫療","3.920","9.949","9.95","醫療設備及用品","8.55%","6.89%","4.06%"
"01127","獅子山集團","1.220","5.000","5.00","印刷及包裝","29.11%","9.84%","12.52%"
"00857","中國石油股份","8.750","8.938","9.19","油氣生產商","36.37%","6.03%","9.55%"
"00883","中國海洋石油","21.100","7.102","7.42","油氣生產商","26.71%","6.07%","9.09%"
"02660","禪遊科技","2.210","5.941","5.94","遊戲軟件","9.11%","18.10%","9.67%"
"00038","第一拖拉機股份","7.240","8.498","9.05","重型機械","45.48%","4.13%","5.82%"
"02161","健倍苗苗","2.000","8.163","8.16","中醫藥","35.83%","10.65%","8.93%"
"02877","神威藥業","7.490","5.888","5.89","中醫藥","25.20%","8.10%","7.07%"
"00280","景福集團","0.570","5.089","5.09","珠寶鐘錶","22.45%","5.26%","6.32%"
