"代碼","名稱","最新價","市盈率(TTM)","市盈率(靜)","所屬行業","資產負債率-最新年度報告","股息率TTM","平均股息率-近3年"
"4026","神島化學工業","1,642","8.099","8.10","玻璃及黏土製品","52.23%","2.98%","2.95%"
"5273","三谷石產","1,620","8.272","8.27","玻璃及黏土製品","26.61%","3.10%","2.24%"
"5284","Yamau控股","2,265","6.229","6.23","玻璃及黏土製品","38.72%","4.86%","5.52%"
"5285","YAMAX","1,352","6.328","6.33","玻璃及黏土製品","39.59%","4.88%","3.54%"
"5290","Vertex建材","1,341","6.535","6.54","玻璃及黏土製品","32.71%","2.61%","2.50%"
"9325","PHYZ控股","1,144","11.998","12.01","存倉物流","64.92%","2.62%","2.43%"
"3150","Gremz","2,450","11.566","11.57","電力及天然氣","31.77%","3.47%","2.85%"
"9503","關西電力","2,300.0","6.742","6.74","電力及天然氣","64.46%","3.26%","2.86%"
"9534","北海道瓦斯","759","5.834","5.83","電力及天然氣","49.69%","3.23%","3.24%"
"6626","SEMITEC","2,025","7.331","7.33","電子設備","22.60%","2.32%","1.96%"
"6632","JVC建伍","1,130.5","10.128","10.13","電子設備","56.93%","1.59%","1.37%"
"6638","Mimaki","1,872","8.034","8.03","電子設備","51.61%","2.67%","2.64%"
"6643","戶上電機製作所","5,590","9.918","9.92","電子設備","26.91%","2.50%","3.37%"
"6658","白井電子工業","449","5.133","5.13","電子設備","42.10%","7.80%","4.93%"
"6702","富士通","3,315.0","13.049","13.05","電子設備","39.86%","1.51%","1.19%"
"6727","Wacom","786","11.074","11.07","電子設備","42.40%","2.93%","3.33%"
"6814","古野電氣","6,090","11.501","11.50","電子設備","36.50%","2.63%","3.20%"
"6874","協立電機","2,568","9.509","9.67","電子設備","35.54%","2.73%","2.65%"
"6912","菊水控股","2,024","10.466","10.47","電子設備","17.91%","2.92%","3.47%"
"7280","三葉","1,226","6.031","6.03","電子設備","61.72%","1.63%","1.09%"
"1435","Robot Home","163","7.366","7.37","房地產業","29.88%","1.23%","1.28%"
"1878","大東建托","3,116.0","10.423","10.42","房地產業","63.69%","4.83%","3.98%"
"2991","Landnet","593","6.247","6.02","房地產業","68.67%","1.69%","1.77%"
"3241","Will","584","10.142","10.14","房地產業","67.21%","3.60%","3.82%"
"3245","Dear Life房地產","1,048","10.869","8.57","房地產業","39.86%","5.82%","5.25%"
"3252","地主","2,898","8.116","8.12","房地產業","64.54%","3.45%","3.25%"
"3276","JPMC","1,327","12.374","12.37","房地產業","46.91%","4.52%","4.71%"
"3288","Open House集團","8,592.0","8.766","9.84","房地產業","61.84%","2.26%","2.81%"
"3299","MUGEN ESTATE","1,813","6.396","6.40","房地產業","66.45%","6.29%","5.85%"
"3486","Global Link Management","1,881","6.546","6.55","房地產業","68.55%","4.28%","4.38%"
"3489","FaithNetwork","770","6.364","6.36","房地產業","64.19%","5.52%","4.65%"
"3495","香陵住販","2,320","7.282","6.43","房地產業","65.25%","2.54%","2.72%"
"3498","霞關資本","7,060","11.635","13.78","房地產業","68.61%","1.70%","1.08%"
"5533","Elitz控股","2,030","9.447","10.17","房地產業","44.40%","3.35%","3.05%"
"8844","Cosmos Initia","1,393","5.733","5.73","房地產業","68.63%","3.45%","2.97%"
"8850","Starts","4,715","8.953","8.95","房地產業","45.41%","2.97%","2.98%"
"8877","Eslead房地產","5,000","6.906","6.91","房地產業","69.63%","4.80%","4.22%"
"8898","21世紀不動產日本","1,129","13.588","13.59","房地產業","15.34%","4.69%","4.37%"
"8908","Mainichi Comnet","858","8.538","9.45","房地產業","56.79%","3.85%","4.02%"
"8914","Arealink","812","11.137","11.14","房地產業","54.39%","3.20%","2.29%"
"8923","Tosei房地產","1,728","10.044","11.38","房地產業","66.55%","2.89%","3.31%"
"8927","明豐ENTERPRISE","453","5.887","7.05","房地產業","67.26%","2.87%","3.27%"
"8929","青山財產網絡","1,277","11.147","11.15","房地產業","55.44%","4.15%","3.24%"
"8934","Sun Frontier房地產","2,468","7.530","8.49","房地產業","54.48%","3.08%","3.04%"
"1717","明豐FW","919","11.580","11.58","服務業","28.66%","4.79%","4.43%"
"2136","HIP","1,539","13.737","13.74","服務業","28.49%","3.57%","4.26%"
"2154","Open Up集團","1,931","12.661","13.38","服務業","35.72%","4.14%","3.35%"
"2179","成學社","775","7.365","7.36","服務業","56.31%","2.84%","2.58%"
"2181","PERSOL控股","254.2","13.260","13.26","服務業","61.52%","4.52%","4.28%"
"2198","IKK控股","715","9.155","10.52","服務業","41.34%","3.36%","3.38%"
"2301","學情","1,602","12.394","11.46","服務業","13.02%","4.43%","3.70%"
"2304","CSS控股","918","6.813","7.86","服務業","51.09%","3.81%","2.61%"
"2395","新日本科學","1,185","10.803","10.80","服務業","58.60%","4.22%","3.44%"
"2410","CAREER DESIGN CENTER","2,875","13.118","13.71","服務業","40.15%","3.48%","4.10%"
"2415","HUMAN控股","1,581","7.402","7.40","服務業","62.54%","4.11%","4.39%"
"2436","Kyodo Public Relations","607","6.265","6.26","服務業","29.41%","2.31%","3.19%"
