"代碼","名稱","最新價","市盈率(TTM)","市盈率(靜)","所屬行業","資產負債率-最新年度報告","股息率TTM","平均股息率-近3年"
"INGR","宜瑞安","97.620","9.387","8.73","包裝食品","44.71%","3.34%","2.78%"
"CINF","辛辛納提金融","192.030","10.979","12.66","財產和意外傷害保險","61.19%","1.85%","2.52%"
"HCI","HCI集團","182.640","8.004","8.04","財產和意外傷害保險","55.92%","0.88%","1.38%"
"T","AT&T","20.580","6.929","6.77","通訊服務","69.42%","5.39%","5.77%"
"TIMB","TIM","21.710","12.666","12.74","通訊服務","57.89%","6.90%","9.06%"
"LOAN","曼哈頓大橋投資股份","4.660","10.591","10.36","抵押貸款REITs","30.88%","9.87%","9.36%"
"REFI","Chicago Atlantic Real Estate Finance","10.680","7.417","6.36","抵押貸款REITs","27.56%","17.60%","16.18%"
"ARLP","Alliance Resource","23.810","12.532","9.92","燃料煤","34.82%","10.50%","13.83%"
"NRP","Natural Resource","99.110","11.646","9.87","燃料煤","15.48%","3.03%","3.17%"
"IGIC","International General Insurance","27.660","9.914","9.57","多元化保險","66.20%","0.72%","0.49%"
"VICI","VICI Properties","27.190","9.312","10.42","多元化REITs","39.60%","6.56%","6.22%"
"AKO.A","Andina Bottling-A","22.610","11.969","12.91","非酒精飲料","65.02%","1.57%","7.11%"
"BKE","巴克爾","42.190","9.677","10.19","服裝零售","57.16%","3.32%","3.53%"
"GAP","Gap Inc","19.250","7.639","9.04","服裝零售","69.91%","3.48%","2.74%"
"CCEC","Capital Clean Energy Carriers","21.600","11.368","7.50","海運","63.39%","2.78%","3.65%"
"HAFN","Hafnia","7.020","7.800","10.48","海運","38.89%","7.78%","19.44%"
"CPA","科帕控股","152.650","8.896","9.38","航空服務","57.84%","4.28%","5.69%"
"DRD","DRDGOLD","21.900","9.660","13.76","黃金","27.46%","1.29%","3.72%"
"GFI","金田","35.460","9.000","9.00","黃金","43.04%","2.22%","2.69%"
"HMY","哈莫尼黃金","16.090","10.171","11.44","黃金","37.41%","1.41%","1.01%"
"ETD","伊森艾倫","21.690","13.728","10.79","家具、燈具與家電","34.57%","7.19%","5.94%"
"HBB","Hamilton Beach Brands","22.730","10.928","11.66","家具、燈具與家電","54.02%","2.11%","2.82%"
"CF","CF工業控股","110.540","9.959","12.32","農業投入品","44.81%","1.81%","2.41%"
"PAG","潘世奇汽車","179.420","12.973","12.70","汽車和卡車經銷","68.29%","2.99%","2.63%"
"TM","豐田汽車","174.590","9.527","9.53","汽車製造","61.13%","3.34%","2.82%"
"DOX","Amdocs","51.750","10.329","10.25","基礎設施軟件","44.47%","4.15%","2.34%"
"EBF","恩尼斯","21.490","12.868","12.95","商業設備和用品","13.50%","4.65%","5.35%"
